,distr,address,flagw,flacg,flags,latitude,longitude,name
170,район Тропарёво-Никулино,Вдоль улицы Никулинская,да,да,да,37.4525185615,55.6710793841,Парк «Школьников» прилегающий к Олимпийской деревне
171,район Соколиная Гора,"шоссе Энтузиастов, дом 19",нет,нет,нет,37.7256415059,55.7534373439,Сквер у колледжа
172,район Новокосино,Территория напротив дома 29 по Салтыковской улице,да,нет,нет,37.8734630219,55.7381981788,Парк между Салтыковской улицей и Салтыковским лесопарком
173,район Новогиреево,"Зелёный проспект, дом 26",нет,да,да,37.7964368238,55.7508333873,Сквер «Афганцев»
174,район Соколиная Гора,"Малая Семёновская улица, между Медовым и Мажоровым переулками",нет,нет,нет,37.7104537042,55.7847809736,Сквер на Малой Семёновской Сквер дружбы
175,район Новокосино,Пересечение улицы Городецкая и улицы Суздальская,нет,нет,нет,37.8640886251,55.7441206753,Городецкий бульвар
176,район Новогиреево,Пересечение Полимерной улицы и Новогиреевской улицы,нет,да,нет,37.8019461183,55.7471029772,Русские узоры
177,район Восточный,Между Главной улицей и улицей 9 Мая,нет,нет,нет,37.8619770242,55.8173446268,Брошенный сад
178,район Косино-Ухтомский,"улица Лухмановская, владения 29-33",нет,да,да,37.9043086447,55.723929219,Парковая зона на Лухмановской улице
179,район Восточный,Пересечение улицы Западная и улицы 9 Мая,нет,нет,нет,37.8685411764,55.8160281312,Парк «Южный»
180,район Новогиреево,Зеленый проспект 76,нет,да,да,37.8271818567,55.7495864249,Сквер между Зелёным проспектом и Фрязевской улицей
181,район Богородское,Пересечение 7-го проезда Подбельского и Открытого шоссе,нет,да,да,37.7261469673,55.8103648048,Парковая зона на Открытом шоссе
182,район Косино-Ухтомский,Между Салтыковской улицей и Святым озером,нет,нет,нет,37.8766478428,55.7151969041,Сквер у храма
183,район Щукино,Парковая зона вблизи набережной канала реки Москвы по Авиационная улица,да,да,да,37.4481021036,55.8116402644,Щукинская набережная
184,район Южное Тушино,Лодочная улица,нет,да,да,37.4544985889,55.8363035448,Кленовый сквер
185,район Митино,Бульварная зона от Дубравной улицы до 3-го Митинского переулка,нет,да,да,37.3540850237,55.8462822148,Бульвар 70-летия Победы
186,район Хорошёво-Мнёвники,"Москва, Территория березовой рощи между ул 3 Хорошевская 7 и Новохорошевским проездом 10",нет,да,да,37.496054223,55.780794687,Парковая зона на территории народного парка «Березовая Роща» между 3-ей Хорошёвской улицей и Новохорошёвским проездом
187,район Покровское-Стрешнево,Большая Набережная 25,нет,нет,нет,37.4612946833,55.8342014348,Сквер на Набережной
188,район Щукино,"Улица Маршала Новикова, дом 12, корпус 2",нет,да,да,37.4645951371,55.8059795506,Сквер Юность
189,район Строгино,"улица Твардовского, дом 14, корпус 1-3",нет,нет,нет,37.4036286492,55.7938437214,Парк «Соколиная гора»
190,район Строгино,"Москва улица Таллинская, владение 32",нет,да,да,37.4090529752,55.8027255481,Парк «70 лет битвы под Москвой»
191,район Куркино,Соловьиная роща 8-10,нет,да,нет,37.3994276333,55.8923325946,Соловьиная Роща
192,район Щукино,Бочвара 17,нет,да,да,37.4518105065,55.8028808513,Живописный сквер
193,район Строгино,улица Исаковского 24,нет,да,да,37.408617188,55.8077377697,Парк Скворечный
194,район Южное Тушино,вдоль Сходненской улицы,нет,нет,нет,37.4397234706,55.8474935581,Сходненский сквер
195,Даниловский район,Даниловская площадь,нет,нет,нет,37.6226159725,55.712097294,Сквер у пам. Даниилу Московскому
196,район Бирюлёво Западное,Харьковская улица,нет,нет,нет,37.6398925781,55.5880696533,Бульвар вдоль Харьковской улицы
197,район Чертаново Северное,улица Чертановская дом 8,нет,да,да,37.5941132035,55.6312422937,Народный парк «Чертановское подворье»
198,район Чертаново Северное,"Сумской проезд, дом 29",нет,да,нет,37.5883931434,55.6282339863,Детский парк на Сумском проезде
199,район Бирюлёво Западное,"Медынская улица, дом7а",нет,да,да,37.6476901123,55.5826560617,Парк «Школьный»
200,район Москворечье-Сабурово,"от улицы Кошкина, дом 12 корпус 1 до Кантемировской улицы, дом 18, корпус 5",нет,да,да,37.6715633456,55.6398983329,Народный парк вдоль Кантемировской улицы
201,Даниловский район,"Восточная улица, дом 4",нет,да,да,37.6548074387,55.7127394388,Детский парк на Восточной улице
202,район Братеево,"улица Ключевая, владение 6",нет,нет,нет,37.7613805721,55.6350152849,Народный парк «Исток»
203,Даниловский район,"улица Большая Тульская, дом 11",нет,нет,нет,37.6229291218,55.7111529588,Японский сад камней на Большой Тульской улице
204,Даниловский район,"улица Ленинская Слобода, дом 26",нет,нет,нет,37.6582736952,55.7113656765,Мини-парк на Восточной улице
205,Донской район,"Окружен: Донской улицей, 3-им Донским проездом, улицей Стасовой, 4-ым Донским проездом",нет,да,нет,37.5989121756,55.7140937613,Донской сквер
206,район Орехово-Борисово Южное,Расположена между Елецкой улицей и Гурьевским проездом,нет,да,да,37.7381873779,55.6014208726,Берёзовая роща
207,район Нагатинский Затон,"вдоль Коломенской набережной до Затонной улицы, дом 22",да,да,да,37.6871268014,55.6760698255,Народный парк – Парк спорта
208,Донской район,Варшавское шоссе дом13а,нет,да,да,37.620757866,55.6987466786,Детский парк на Варшавском шоссе
209,район Чертаново Центральное,"территория между улица Чертановская, дом 27 и улица Кировоградская, дом22",нет,да,да,37.593897497,55.6183220463,Парк 30-летия Победы
210,район Зябликово,территория между Борисовским проездом и Ореховым проездом,нет,нет,нет,37.7280403533,55.6191609759,Сквер-сад по Ореховому проезду
211,Донской район,Варшавское шоссе владение 2,нет,да,да,37.6193168279,55.7011391474,Народный парк «Южный дворик»
212,район Орехово-Борисово Северное,пересечение Каширского шоссе и Борисовского проезда,нет,нет,нет,37.7117866266,55.6242266947,Народный парк «Яблоневый сад»
213,район Чертаново Северное,"территория между улица Чертановская дом 9, корпус 4 и улица Кировоградская, дом 8, корпус 3",нет,да,да,37.6051660903,55.6293956824,Школьный парк на Кировоградской улице
214,район Чертаново Южное,"улица Дорожная, владение 5 - 7",да,да,да,37.6237738597,55.6048207712,Народный парк «Покровский»
215,район Царицыно,"улица Ереванская, владение 27",нет,да,да,37.674903376,55.6290498761,Народный парк имени Надежды Рушевой
216,Даниловский район,"территория между улицей Лобанова, дом 9 и улицей Трофимова, дом 8",да,да,да,37.6632869973,55.7013624889,Народный парк Кожуховский
217,район Коптево,"проезд Черепановых, 24с1",нет,нет,да,37.5210581463,55.839511321,Народный парк на проезде Черепановых
218,район Аэропорт,"улица Усиевича, 12",да,да,да,37.5265693924,55.8073820162,Народный парк у кинотеатра «Баку»
219,район Аэропорт,"Часовая улица, дом 21А",нет,да,нет,37.5200262757,55.8087940119,Народный парк по Головановскому переулку
220,район Левобережный,Расположен между каналом имени Москвы и Левобережной улицы,да,да,да,37.4599329572,55.8776107611,Парк «Левобережный»
221,Головинский район,"улица Петра Алексеева, 12",да,да,да,37.5188370095,55.8442715649,Парк Петра Алексеева
222,Войковский район,"1-ый Новоподмосковный переулок, 2
",нет,да,да,37.5010107698,55.8161312272,Народный парк по улице Космонавта Волкова
223,район Ховрино,"Клинская улица, 2с1",да,да,да,37.5093428948,55.8679598781,Парк «Грачёвка»
224,Головинский район,"3-й Лихачевский переулок, 2к3",да,да,да,37.5112591738,55.8415832486,Парк у Головинских прудов
225,район Западное Дегунино,"Дегунинская улица, 2к2",да,да,да,37.5349367443,55.8673973053,Народный парк у Дегунинского пруда
226,район Коптево,Между домами 24 и 24 корпус 3 на Большой Академической улице,нет,нет,да,37.5315319101,55.8258518832,Народный парк Вишневый сад
227,район Лефортово,улица Волочаевская дом 38,нет,нет,нет,37.676671451,55.7540608715,Парк «Строгановские дачи»
228,район Выхино-Жулебино,Пересечение улицы Авиаконструктора Миля и Жулебинского бульвара,нет,нет,нет,37.8478941604,55.6880016863,Парковая зона на улице Авиаконструктора Миля
229,Южнопортовый район,улица Мельникова владение 7,нет,нет,нет,37.6709476031,55.7257666627,Парковая зона на прилегающей территория к Храму по улице Мельникова
230,район Лефортово,1-й Краснокурсантский проезд улица Красноказарменная,нет,да,да,37.6943141721,55.7590977232,Сквер на Краснокурсантской площади
231,район Текстильщики,"На пересечение улиц Юных Ленинцев, Артюхиной, 8-й Текстильщиков, Малышева",нет,да,да,37.7366267505,55.7044382646,Сквер по улице Артюхиной
232,Рязанский район,"Вдоль жилых домов по Волжскому бульвару дом 3, корпус 1 до Саратовской улицы, дом 31",нет,нет,да,37.7458259441,55.7193974468,Солнечный
233,Рязанский район,Улица Зарайская владение 51-55,нет,да,да,37.7739262858,55.7296840344,Парк Плющево
234,Нижегородский район,1-я Карачаровская улица и Перовское шоссе,нет,нет,нет,37.7538212239,55.7370873905,Карачарово
235,район Выхино-Жулебино,Улица Саранская владение 5-7,нет,нет,нет,37.8514124256,55.6933633554,Сквер вокруг Храма Иоанна Кронштадского
236,район Капотня,"Территория Яблоневого сада в 3-м квартале Капотни, дом 4",нет,да,да,37.7995182084,55.6362631961,Народный парк «Яблоневый сад в Капотне»
237,Рязанский район,улица Федора Полетаева,нет,да,да,37.7793025923,55.711160599,Сквер на улице Фёдора Полетаева
238,район Лефортово,"Госпитальная площадь, улица Госпитальный вал",нет,нет,да,37.6980944148,55.767141913,«Госпитальный» сквер
239,район Текстильщики,улица Шкулева дом 2,да,да,да,37.735201532,55.6926030798,Парк имени Шкулёва
240,район Некрасовка,"Улица 2-я Вольская дом 11 корпус 3 дом 17, корпус 2 строение 1",нет,нет,нет,37.9310309178,55.688723669,Парковая зона на 2-й Вольской улице
241,район Люблино,"На пересечение улиц Армавирская, Краснодарская, Таганрогская",нет,да,да,37.7537653957,55.6769343917,Парк имени Чехова
242,район Капотня,2-й квартал Капотни дом 9,нет,нет,нет,37.8064980977,55.6410334647,Парк у памятника «погибшим Капотнинцам»
243,район Лефортово,Железнодорожная платформа Новая,нет,да,да,37.720230451,55.7509531128,Сквер у платформы «Новая»
244,район Лефортово,Вдоль улицы Госпитальный Вал от Крюковской улицы до Боровой улицы,нет,нет,нет,37.7118701989,55.7739668343,Пригородный сквер
245,район Люблино,"На пересечение улиц Краснодарская, Белореченская, Новороссийская, Совхозная",нет,да,да,37.7620443545,55.6750638438,Парковая зона в микрорайоне 39б
246,район Печатники,"Улица Гурьянова, владение 83",нет,да,да,37.7156339908,55.6851104979,Парк на набережной в Печатниках
247,район Капотня,Между Проектируемым проездом №5175 и 2-м кварталом района Капотня,нет,нет,нет,37.7989435547,55.6419292576,Парк вдоль проктируемого проезда № 5175
248,район Люблино,От метро Волжская по перегону к улице Заречье,нет,да,нет,37.7561211073,55.6908701828,Парк «Перегон Волжская-Люблино»
249,поселение Новофедоровское,"поселение Новофёдоровское, возле деревни Яковлевское",да,да,да,37.2017417702,55.5952807764,Фестивально-прогулочный парк «Сосны»
250,поселение Марушкинское,"поселение Марушкинское, в пойме ручья Алёшина",да,да,да,36.9299742028,55.4687523533,Детский парк «Ручеёк»
251,поселение Краснопахорское,"поселение Краснопахорское, возле села Былово, русло реки Пахра",нет,да,да,37.259528143,55.4416655278,Спортивный парк «Красная Пахра»
252,Хорошёвский район,2-я Песчаная улица,нет,да,да,37.5136897967,55.7969034115,Сквер на 2-ой Песчаной улице
253,Мещанский район,"Парк расположен между улицей Советской Армии, Олимпийским проспектом и Суворовской площадью",да,да,да,37.618973288,55.7863152593,"ГБУ СРЦ ВВ и ВС, отделение «Екатерининский парк»"
254,район Хамовники,Дворовая территория по Хилкову переулку возле дома 3,нет,да,да,37.5976408788,55.7383321866,Лукоморье
255,район Замоскворечье,"Новокузнецкая улица рядом с домом 33, строение 1",нет,да,да,37.6336893681,55.7344949511,Сквер на Новокузнецкой улице
256,Мещанский район,улица Трубная дом 15,нет,да,да,37.6233882676,55.7690652765,Парковая зона на Трубной улице
257,Таганский район,Пересечение Рабочей и Новорогожской улиц,нет,нет,нет,37.6867480215,55.7411732307,Парковая зона на пересечении Рабочей и Новорогожской улиц
258,район Якиманка,"Мытная улица, дом 40-44",нет,да,да,37.6163826326,55.7223939936,Сиреневый парк
259,район Замоскворечье,"Вдоль Люсиновской улицы от дома 2 до дома 48/50, строение 10",нет,нет,нет,37.6226974986,55.7276774258,Сквер на Люсиновской улице
260,Басманный район,Бауманская улица дом 38,нет,да,да,37.6782316812,55.7699535062,Парковая зона на Бауманской улице
261,район Якиманка,улица Большая Якиманка дом 35,нет,да,нет,37.6142452739,55.7340304037,Дворик на Большой Якиманке у дома 35
262,Таганский район,Пестовский переулок дом 2 строение 1,нет,да,нет,37.6595916997,55.7451388852,Парковая зона на улице Станиславского
263,Мещанский район,"Со стороны Банного переулка, дом 8",нет,нет,да,37.6363766781,55.7861645798,Парк на Банном
264,район Арбат,"Дворовая территория в 1-м Смоленском переулке, дом 22
",нет,нет,нет,37.5799520705,55.7499081678,Тихий уголок
265,Пресненский район,"Шелепихинская набережная, дом 8А",нет,да,да,37.5221020708,55.751566256,Причальный
266,Даниловский район,Между Подольским шоссе и Павловской улицей,нет,да,нет,37.6254271009,55.7151710348,Павловский сквер
267,район Царицыно,Кавказский бульвар,нет,да,да,37.6572988157,55.627925026,Парк по Кавказскому бульвару
268,Бескудниковский район,"Дмитровское шоссе, дом 82",нет,да,да,37.5473446212,55.8682725802,Парк имени Святослава Федорова
269,Можайский район,улица Кутузова дом 1,да,да,да,37.4127584157,55.7224253682,Овраг по улице Кутузова
270,район Отрадное,от дома 9 А по Северному бульвару до пересечения с Юрловским проездом,нет,да,нет,37.6082292387,55.8676590676,Сквер на Северном бульваре
271,район Люблино,от улицы Верхние поля дом 35 до улицы Новороссийской дом 32,нет,да,да,37.7598389994,55.6678692101,Аллея Молодых Семей
272,район Лефортово,улица Пруд Ключики дом 1-3,нет,да,нет,37.7194130731,55.748222527,Сквер 65-летия Победы в Великой Отечественной войне 1941-1945 годов в Лефортово
273,район Выхино-Жулебино,Жулебинский бульвар,нет,да,да,37.8538678455,55.69207446,Парковая зона на Жулебинском бульваре
274,Лосиноостровский район,Между улицами Мезенская и Оборонная,нет,да,да,37.6856807528,55.8811087049,Сквер по ул. Оборонная
275,Ярославский район,"Хибинский проезд, дом 14",нет,да,нет,37.6834136378,55.8579334743,Народный парк «Хибинский сквер»
276,Лосиноостровский район,Сквер между Изумрудной улицей и Осташковским проездом,да,да,да,37.6811450727,55.877311305,Сквер по Изумрудной улице
277,район Богородское,"Краснобогатырская улица, дом 21 (между проезжей частью и жилым домом)",нет,да,нет,37.7018263161,55.8115110648,Сквер на Краснобогатырской
278,район Новогиреево,"Перовская улица, напротив дома 61",да,нет,да,37.7986426374,55.7448339297,Перовский сквер
279,район Матушкино,"город Зеленоград, у корпуса 234А",нет,нет,нет,37.205995291,56.0032873462,Народный парк «Поляна сказок»
280,район Крюково,"город Зеленоград, Народный парк от корпуса 1446 до корпуса 1471",нет,нет,нет,37.1574262291,55.9862719889,Народный парк «Живые камни»
281,район Свиблово,улица Седова,нет,да,да,37.6364640748,55.853438646,сквер по улице Седова
282,Алексеевский район,улица Кибальчича,нет,нет,нет,37.6395916264,55.816947022,Сквер Победы по улице Кибальчича
283,Лосиноостровский район,улица таймырская,нет,да,да,37.6985520376,55.8819225914,сквер по улице Таймырская
284,район Арбат,Спасопесковский переулок,нет,нет,нет,37.5868441917,55.7503923202,Сквер в Спасопесковском переулке
285,район Хамовники,"улица Остоженка, дом 38",нет,нет,нет,37.5952156486,55.7389696882,Сквер на Остоженке у дома 38
286,район Хамовники,улица Остоженка дом 41,нет,нет,нет,37.5957880198,55.7385262305,Сквер на Остоженке у дома 41
287,поселение Троицк,набережная реки Десны в районе улицы Заречной,да,да,да,37.3057833333,55.4951626477,Парк «Заречье»
288,Пресненский район,Большой Патриарший переулок,да,да,нет,37.5907386662,55.7640056177,Парк Патриаршие пруды
289,район Северное Медведково,между Полярной улицей и проездом Шокальского,нет,да,да,37.6419621981,55.8841432539,Сквер им. 50-летия ВЛКСМ
290,Алтуфьевский район,"улица Инженерная, дом 1",да,да,да,37.5827326463,55.8800117353,Озелененная территория у кинотеатра Марс
291,Алексеевский район,улица Константинова,нет,да,да,37.65747625,55.8197023463,сквер по улице Константинова
292,район Лианозово,улица Череповецкая,нет,да,да,37.5648220465,55.8986143494,Озелененная территория по улице Череповецкая
293,район Северный,находится на пересечении шоссе с долгопрудненской аллей,да,нет,нет,37.5404438112,55.9420850399,Зона отдыха Долгие пруды
294,район Южное Бутово,"Детский ландшафтный парк в Южном Бутово, между улицами Адмирала Лазарева и улицей Горчакова",да,да,да,37.5320081813,55.5431018262,Детский ландшафтный парк
295,район Северное Бутово,Долина реки Битца от улицы Куликовская до бульвара Дмитрия Донского,да,да,нет,37.5684897937,55.5761247412,Поймы реки Битца
296,район Хамовники,Гоголевский бульвар,нет,нет,нет,37.6002419843,55.7509821398,Сквер на Гоголевском бульваре
297,район Якиманка,ул Академика Петровского,нет,нет,нет,37.6012713426,55.7216357776,Сквер по ул. Академика Петровского
298,район Южное Бутово,"Бутовский лесопарк квартал 36, природный комплекс № 113
",да,да,нет,37.5513309798,55.5325540168,лесопарк Бутовский ПК 113
299,район Южное Бутово,Бутовский лесопарк квартал 30 природный комплекс № 101,нет,нет,нет,37.5825869689,55.5390675022,лесопарк Бутовский ПК 101
300,район Южное Бутово,Бутовский лесопарк квартал 30 природный комплекс № 100,да,да,нет,37.5754183244,55.542880076,лесопарк Бутовский ПК 100
301,район Северное Бутово,"Бутовский лесопарк кварталы 13, 14, природный комплекс № 94",да,да,да,37.5588964728,55.5602830978,лесопарк Бутовский ПК 94
302,район Левобережный,"от ул Беломорская улица, 16А до Фестивальная улица, 17к1",нет,да,нет,37.4717609914,55.8637189771,Сквер у кинотеатра Нева
303,район Ховрино,"улица Лавочкина, 32",нет,да,да,37.4901615684,55.8591670069,"Народный парк по ул. Лавочкина, д. 32"
304,район Москворечье-Сабурово,"Между улицей Кошкина, дом 19, корпус 1 и улицей Кантемировская, дом 4, корпус 3",нет,да,да,37.6719560628,55.6399908094,«Кантимировский»
305,район Чертаново Северное,Между улицей Сумская и улицей Днепропетровская,нет,нет,нет,37.5980541998,55.6247479442,Сквер у кинотеатра «Ашхабад»
306,район Царицыно,"Улица Ереванская, между кинотеатром Эльбрус и Кавказским бульваром",нет,нет,нет,37.667822627,55.6321285795,Сквер у кинотеатра «Эльбрус»
307,район Орехово-Борисово Южное,Пересечение улицы Генерала Белова с улицей Воронежская,нет,нет,нет,37.7220298774,55.6078687339,Парк на пересечении улицы Генерала Белова с улицей Воронежская
308,район Ховрино,Вдоль 76-го километра Московской Кольцевой Автодороги,нет,да,да,37.4615946957,55.882250639,"Химкинский лесопарк (кварталы № 32, 33 Красногорского леспаркхоза, природный комплекс № 45)"
309,район Куркино,"Территория между микрорайонами № 4 и № 15 района Куркино, парк Дубрава",да,да,да,37.392892888,55.8972550883,Парк Дубрава
310,район Лефортово,"улица Красноказарменная, дом 2",нет,да,да,37.6868055904,55.761491689,"Сквер на Красноказарменной улице, д.2 (сквер Воинов-победителей)"
311,район Лефортово,"Красноказарменная улица, дом 8",нет,да,да,37.6939434429,55.7589268425,Парк Казачьей Славы
312,Савёловский район,ул Вятская 41,нет,да,да,37.5779270142,55.7998671933,Народный парк «Автомобилист»
313,Мещанский район,"улица Дурова, дом 2",нет,нет,нет,37.6171592204,55.7804571411,Екатерининский сквер
314,Мещанский район,Пересечение Олимпийского проспекта и Самотечной улицы,нет,нет,нет,37.6190124171,55.7742556588,Самотечный бульвар
315,район Марьина Роща,Рижская площадь,нет,нет,нет,37.6336555468,55.7931120669,Сквер у Рижского вокзала
316,Алексеевский район,Ракетный бульвар,нет,да,да,37.6475051752,55.8189013667,Ракетный бульвар
317,Останкинский район,Звездный бульвар,нет,нет,нет,37.6198650835,55.8127188692,Звездный бульвар
318,Ярославский район,Малыгинский проезд,нет,нет,нет,37.7062778841,55.8734573544,Сквер по Малыгинскому проезду
319,Пресненский район,пересечение улицы 1905 года улицы Трехгорный Вал и Шмитовский проезд,нет,да,нет,37.5609054489,55.7631514958,Сквер 1905 года
320,Бабушкинский район,Пересечение улицы Летчика Бабушкина и Изумрудной улицы,нет,нет,нет,37.6757484028,55.8693305887,Сквер между улицей Летчика Бабушкина и Изумрудной улицей
321,Бабушкинский район,Староватутинский проезд,нет,нет,нет,37.6612008684,55.8767539063,Сквер у магазина «Природа»
322,Останкинский район,"улица 1-я Останкинская, дом 13",нет,да,нет,37.6169658114,55.8243402174,Сквер «Останкино»
323,Алексеевский район,улица Кибальчича,нет,нет,нет,37.6545155702,55.8157084481,Бульвар по улице Кибальчича
324,Тверской район,"улица Самотечная, дом 17 а",нет,да,нет,37.6162358335,55.7805604243,Ново-Екатерининский сквер
325,район Ростокино,Пересечение улицы Вильгельма Пика и Леоновской улицы,да,нет,нет,37.6358476512,55.8439870235,Леоновская роща
326,район Южное Медведково,улица Заповедная от проезда Дежнева до Кольской улицы,да,да,нет,37.6409564739,55.8668492419,Сквер по Заповедной улице
327,Алексеевский район,Проспект Мира,нет,да,да,37.6416713651,55.8199341058,"Алексеевская гора
"
328,Тимирязевский район,улица Большая Академическая,нет,нет,нет,37.5394686111,55.8363623307,Сквер по улице Большая Академическая
329,Тимирязевский район,"Дмитровское шоссе, дом 49, корпус 1",нет,нет,нет,37.5678832351,55.8409217961,Сквер у кинотеатра «Комсомолец»
330,район Хамовники,"Фрунзенская набережная, дом 8",нет,нет,нет,37.5942044418,55.7331848549,Ботанический сад Сад имени П.И.Травникова
331,район Москворечье-Сабурово,улица Борисовские пруды дом 2,нет,нет,нет,37.7137033749,55.6372672375,Объект озеленения по улице Борисовские пруды в районе «Сабурово»
332,район Вешняки,"между Рассветной аллеей, аллеей Первой Маёвки и улицей Юности",да,нет,нет,37.7723533939,55.7346216001,Объект природного комплекса ПК № 80 Лесопарк Кусково
333,Хорошёвский район,Ленинградский проспект дома 47 - 49,нет,нет,нет,37.529900034,55.8005406576,Сквер у южного выхода станции метро Аэропорт
334,Хорошёвский район,Ходынский бульвар,нет,нет,нет,37.5224655205,55.7889156501,Бульвар Исторические ландшафты Москвы примыкающие к застройке Ходынского поля
335,район Ховрино,"улица Дыбенко, дом 34",нет,да,да,37.4830765685,55.8758056674,Сквер «Березовая роща» по улице Дыбенко
336,район Гольяново,улица Байкальская,нет,нет,нет,37.7995357583,55.8170544949,Бульвар по Байкальской улице
337,район Братеево,улица Борисовские пруды,да,нет,да,37.7356814257,55.6361432766,Объект озеленения Братеевской набережной
338,Савёловский район,"Россия, Москва, Петровско-Разумовский проезд, 29",нет,да,нет,37.5620756127,55.8041182202,Савеловский парк
339,Академический район,улица Винокурова дом 4,нет,да,нет,37.582456627,55.6899862528,Сквер Диета
340,район Котловка,улица Нагорная дом 39 корпус 4,нет,да,да,37.5953765945,55.667184027,Парк «Сосенки»
341,район Черёмушки,город Москва улица Болотниковская,нет,да,да,37.5680665123,55.6653488406,Парк имени 70-летия Победы
342,район Южное Бутово,город Москва улица 2-я Северодонецкая,нет,нет,нет,37.5675814465,55.5516446848,Сквер Защитников Московского неба
343,район Орехово-Борисово Южное,Вдоль 22-го километра Московской Кольцевой Автодороги,нет,да,нет,37.752508162,55.6048680826,"Видновский (Зябликовский) лесопарк, квартал 2 (природный комплекс № 180)"
344,район Матушкино,Окружен улицами: Ленинградское шоссе и Льяловское шоссе,нет,нет,нет,37.18962968,56.0219024048,Крюковский лесопарк (природный комплекс № IV)
